Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782762531,109,,Aggregated,520.600000,516.200000,5,6,7,8,11,16,45,49,74,130,150,77490,76694,5,7.00036053038521,1.262400000996422,150.80869999655988,113.0151503419796
1782762532,109,,Aggregated,524.800000,520.800000,5,6,7,8,11,16,45,49,74,130,150,77999,77200,5,7.026180263843407,1.262400000996422,150.80869999655988,113.20438723573379
1782762534,109,,Aggregated,518.600000,514.500000,5,6,7,8,11,17,45,49,74,130,150,78491,77689,5,7.054576691588848,1.262400000996422,150.80869999655988,113.72706424940439
1782762535,109,,Aggregated,520.700000,516.900000,5,6,7,8,11,17,45,49,77,140,210,78871,78064,5,7.161133605500278,1.262400000996422,212.44319999823347,113.92107365191262
1782762536,109,,Aggregated,516.700000,513.400000,5,6,7,8,11,18,45,49,78,140,210,79342,78529,5,7.215410600935964,1.262400000996422,212.44319999823347,114.46234024854428
1782762537,109,,Aggregated,500.900000,497.300000,5,6,7,8,12,19,45,49,80,140,210,79841,79024,5,7.289223879954593,1.262400000996422,212.44319999823347,114.22559837677383
1782762538,109,,Aggregated,489.100000,485.100000,5,6,7,8,12,19,45,49,80,140,210,80337,79515,5,7.353186417210871,1.262400000996422,212.44319999823347,115.09499981328653
1782762539,109,,Aggregated,486.400000,482.700000,5,6,7,8,12,19,45,49,80,140,210,80828,80002,5,7.393303923140016,1.262400000996422,212.44319999823347,115.26896619983174
1782762540,109,,Aggregated,483.600000,480.100000,5,6,7,8,12,20,45,49,81,140,210,81346,80514,5,7.451195906369304,1.262400000996422,212.44319999823347,115.14719838713643
1782762541,109,,Aggregated,479.400000,475.800000,5,6,7,8,12,20,45,49,81,140,210,81854,81020,5,7.480373246261108,1.262400000996422,212.44319999823347,114.95115693796271
1782762542,109,,Aggregated,476.300000,472.100000,5,6,7,8,12,20,45,50,81,140,210,82333,81497,5,7.514465169489101,1.262400000996422,212.44319999823347,114.72783695480548
1782762543,109,,Aggregated,483.100000,479.200000,5,6,7,9,13,20,45,50,88,140,210,82700,81863,5,7.596768128169023,1.262400000996422,212.44319999823347,114.55833131801693
1782762544,109,,Aggregated,476.800000,472.800000,5,6,8,9,13,21,46,50,93,140,240,83189,82343,5,7.681733120960655,1.262400000996422,235.06439999619033,114.68801163615382
1782762545,109,,Aggregated,465.100000,461.300000,5,6,8,9,13,21,46,51,93,140,240,83680,82832,5,7.73974211878171,1.262400000996422,235.06439999619033,114.81815248565965
1782762546,109,,Aggregated,458.400000,453.900000,5,6,8,9,13,22,46,51,95,140,240,84091,83238,5,7.812431926123689,1.262400000996422,235.06439999619033,114.62924688730067
1782762547,109,,Aggregated,470.500000,466.600000,5,6,8,9,14,22,46,51,95,140,240,84539,83686,5,7.861826044780804,1.262400000996422,235.06439999619033,114.42983711659707
1782762548,109,,Aggregated,465.900000,461.900000,5,6,8,9,14,23,46,51,95,140,240,84978,84123,5,7.930364729690734,1.262400000996422,235.06439999619033,114.581715267481
1782762549,109,,Aggregated,461.200000,457.600000,5,7,8,9,14,23,46,51,95,140,240,85451,84590,5,7.989590718652497,1.262400000996422,235.06439999619033,114.71629354834934
1782762550,109,,Aggregated,455.100000,451.800000,5,7,8,9,14,23,46,52,95,140,240,85993,85125,5,8.02738438360735,1.262400000996422,235.06439999619033,115.50506436570419
1782762551,109,,Aggregated,451.200000,448.000000,5,7,8,9,14,23,46,52,95,140,240,86485,85613,5,8.060369798226699,1.262400000996422,235.06439999619033,115.28378331502573
1782762552,109,,Aggregated,454.400000,451.100000,5,7,8,9,14,23,46,52,95,140,240,87004,86128,5,8.08773827869523,1.262400000996422,235.06439999619033,115.41923359845525
1782762553,109,,Aggregated,454.000000,450.300000,5,7,8,9,14,23,46,52,95,140,240,87524,86644,5,8.130671213605483,1.262400000996422,235.06439999619033,115.56385677071432
1782762554,109,,Aggregated,458.100000,454.300000,5,7,8,10,15,24,46,52,96,140,240,87988,87103,5,8.194372266668829,1.262400000996422,235.06439999619033,115.73145201618402
1782762555,109,,Aggregated,469.000000,465.000000,5,7,8,10,15,24,46,52,96,140,240,88483,87592,5,8.207828404322479,1.262400000996422,235.06439999619033,115.58795474836974
1782762556,109,,Aggregated,472.900000,469.100000,5,7,8,10,15,24,46,52,96,140,240,89007,88113,5,8.210626374325996,1.262400000996422,235.06439999619033,115.35790443448268
1782762557,109,,Aggregated,473.300000,469.000000,5,7,8,10,15,24,46,52,96,140,240,89573,88677,5,8.227381675278346,1.262400000996422,235.06439999619033,115.11270137206525
1782762558,109,,Aggregated,482.700000,478.600000,5,7,8,10,15,24,46,52,95,140,240,90160,89264,5,8.22458789263253,1.262400000996422,235.06439999619033,114.86456299911269
1782762559,109,,Aggregated,492.000000,487.700000,5,7,8,10,15,24,46,52,95,140,240,90685,89784,5,8.235467155535405,1.262400000996422,235.06439999619033,115.00661630920219
1782762560,109,,Aggregated,509.600000,505.500000,5,7,8,10,15,24,46,52,95,140,240,91227,90325,5,8.235261670334708,1.262400000996422,235.06439999619033,114.7789579839302
1782762561,109,,Aggregated,517.500000,513.300000,5,7,8,10,15,24,46,52,95,140,240,91724,90818,5,8.26023862020503,1.262400000996422,235.06439999619033,114.93147922026951
